							Cluster-based matching	Cell-based matching					Cluster size comparison																	Biomarker-based inference																
HLCA hierarchical cluster order	CellRef order	MatchOrder	Level_1_grouping	Dendrogram-driven parent class	HLCA_ClusterName	CellRef_ClusterName	TwoWayMatch_FRMatch	HiConfMatch_Azimuth	HiConfMatch_CellTypist	HiConfMatch_scArches	HiConfMatch_FRMatch	RecommendedMatching	HLCA_ClusterSize	CellRef_ClusterSize	HLCA_CluserSize/CellRef_ClusterSize	HLCA_Fbeta	HLCA_PPV	HLCA_TN	HLCA_FP	HLCA_FN	HLCA_TP	HLCA_MarkerCount	CellRef_Fbeta	CellRef_PPV	CellRef_TN	CellRef_FP	CellRef_FN	CellRef_TP	CellRef_MarkerCount	HLCA_NSForestMarkers	CellRef_NSForestMarkers	HLCA_BinaryGenes	CellRef_BinaryGenes	Overlap_BinaryGenes	Overlap_BinaryGenesCount		clusterName (subject)	(predicate)	CL manual match (object)	PURL	Current CL definition	Proposed addition to CL definition or annotation property.				
3	1	1	Immune	Macrophage	Alveolar macrophages	Alveolar macrophage	Y	Y	Y	Y	Y	HLCA2CellRef_Match	68487	101380	0.68	0.80	0.82	505416	11041	18079	50408	2	0.95	0.98	244465	2125	12459	88921	2	"['MSR1', 'FABP4']"	"['MCEMP1', 'ACP5']"	"['INHBA', 'PARAL1', 'MSR1', 'RP11-598F7.3', 'FABP4', 'FBP1', 'MARCO', 'ACP5', 'APOC1', 'C1QB']"	"['MARCO', 'MCEMP1', 'FBP1', 'ACP5', 'FABP4', 'MSR1', 'OLR1', 'C1QC', 'GPNMB', 'C1QB']"	"[MARCO, ACP5, FABP4, FBP1, MSR1, C1QB]"	6		Alveolar macrophage	skos:exactMatch	alveolar macrophage	http://purl.obolibrary.org/obo/CL_0000583	"A tissue-resident macrophage found in the alveoli of the lungs. Ingests small inhaled particles resulting in degradation and presentation of the antigen to immunocompetent cells. Markers include F4/80-positive, CD11b-/low, CD11c-positive, CD68-positive, sialoadhesin-positive, dectin-1-positive, MR-positive, CX3CR1-negative."	These cells selectively express the combination of MSR1 and FABP4 transcripts in human lung.				
9	7	2	Immune	Monocyte/macrophage	Non-classical monocyte	Patrolling monocyte	Y	Y	Y	Y	Y	HLCA2CellRef_Match	8834	2189	4.04	0.46	0.55	574051	2059	6342	2492	2	0.51	0.58	345266	515	1465	724	2	"['LILRB2', 'LILRB1']"	"['LILRB2', 'POU2F2']"	"['LILRB2', 'LILRA5', 'LILRB1', 'FCN1', 'CFP', 'FGL2', 'FCGR3A', 'LIPA', 'LST1', 'AIF1']"	"['LILRB2', 'LILRA5', 'POU2F2', 'LILRB1', 'SMIM25', 'FCN1', 'TCF7L2', 'MTSS1', 'FCGR3A', 'LST1']"	"[FCGR3A, LILRB1, LILRB2, LILRA5, LST1, FCN1]"	6		Non-classical monocyte	skos:exactMatch	non-classical monocyte	http://purl.obolibrary.org/obo/CL_0000875	"A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair."	These cells selectively express the combination of LILRB2 and LILRB1 transcripts in human lung.				
13	10	3	Immune	Granulocyte	Mast cells	Mast/Basophil	Y	Y	Y	Y	Y	HLCA2CellRef_Match	6623	2919	2.27	0.96	0.97	578094	227	272	6351	1	0.96	0.96	344952	99	219	2700	1	['TPSAB1']	['CPA3']	"['TPSAB1', 'TPSB2', 'CPA3', 'MS4A2', 'HPGDS', 'SLC18A2', 'RGS13', 'RHEX', 'HDC', 'LTC4S']"	"['CPA3', 'TPSAB1', 'MS4A2', 'TPSB2', 'HPGDS', 'SLC18A2', 'RGS13', 'MAOB', 'HDC', 'RHEX']"	"['RGS13', 'TPSB2', 'CPA3', 'SLC18A2', 'HDC', 'RHEX', 'MS4A2', 'HPGDS', 'TPSAB1']"	9		Mast cells	skos:exactMatch	mast cell	http://purl.obolibrary.org/obo/CL_0000097	"A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development."	These cells selectively express the TPSAB1 transcript in human lung.				
15	11	4	Immune	T/NK cell	NK cells	Natural killer cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	16978	8853	1.92	0.79	0.90	566971	995	8006	8972	2	0.88	0.94	338728	389	2635	6218	2	"['KLRF1', 'PRF1']"	"['KLRB1', 'GNLY']"	"['GNLY', 'KLRF1', 'FGFBP2', 'KLRB1', 'KLRD1', 'PRF1', 'CD247', 'SPON2', 'CTSW', 'CD7']"	"['KLRF1', 'SPON2', 'FGFBP2', 'KLRB1', 'GNLY', 'KLRD1', 'NKG7', 'CD7', 'PRF1', 'GZMA']"	"['SPON2', 'KLRF1', 'FGFBP2', 'CD7', 'KLRB1', 'GNLY', 'PRF1', 'KLRD1']"	8		NK cells	skos:exactMatch	natural killer cell	http://purl.obolibrary.org/obo/CL_0000623	A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.	These cells selectively express the combination of KLRF1 and PRF1 transcripts in human lung.				
16	12	5	Immune	T/NK cell	CD4 T cells	CD4+ T cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	21285	5641	3.77	0.59	0.66	559139	4520	12370	8915	2	0.63	0.77	341715	614	3571	2070	2	"['LTB', 'CD3D']"	"['CD3D', 'LTB']"	"['TRAC', 'LTB', 'CD2', 'CD3E', 'CD3D', 'IL7R', 'IL32', 'CD69', 'CXCR4', 'HCST']"	"['RNF19A', 'ITK', 'CNOT6L', 'CD3D', 'LTB', 'CD3E', 'TRAC', 'LINC00513', 'CRYBG1', 'RHOH']"	"[LTB, CD3E, TRAC, CD3D]"	4		CD4 T cells	skos:exactMatch	"CD4-positive, alpha-beta T cell"	http://purl.obolibrary.org/obo/CL_0000624	A mature alpha-beta T cell that expresses an alpha-beta T cell receptor and the CD4 coreceptor.	These cells selectively express the combination of LTB and CD3D transcripts in human lung.				
17	15	6	Immune	T/NK cell	CD8 T cells	CD8+ T cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	29074	3443	8.44	0.76	0.81	551611	4259	11289	17785	2	0.84	0.95	344418	109	1460	1983	3	"['CCL5', 'CD3D']"	"['CD8A', 'NKG7', 'CD3E']"	"['TRAC', 'CCL5', 'CD7', 'CD3D', 'CD2', 'CTSW', 'NKG7', 'TRBC2', 'CD3E', 'GZMA']"	"['CD8B', 'CD8A', 'CD3G', 'GZMH', 'NKG7', 'CD3E', 'GZMA', 'KLRD1', 'CD3D', 'TRAC']"	"[NKG7, CD3D, CD3E, TRAC, GZMA]"	5		CD8 T cells	skos:exactMatch	"CD8-positive, alpha-beta T cell"	http://purl.obolibrary.org/obo/CL_0000625	A T cell expressing an alpha-beta T cell receptor and the CD8 coreceptor.	These cells selectively express the combination of CCL5 and CD3D transcripts in human lung.				
18	16	7	Immune	B lineage cell	Plasma cells	Plasma cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	1773	2181	0.81	0.91	0.94	583073	98	349	1424	1	0.82	0.87	345553	236	668	1513	1	['JCHAIN']	['MZB1']	"['TNFRSF17', 'IGHA1', 'CD27', 'POU2AF1', 'MZB1', 'JCHAIN', 'DERL3', 'IGKC', 'CD79A', 'FKBP11']"	"['FCRL5', 'POU2AF1', 'IGHA1', 'TENT5C', 'TXNDC5', 'MZB1', 'JCHAIN', 'CREB3L2', 'DERL3', 'FBXW7']"	"[IGHA1, MZB1, JCHAIN, DERL3, POU2AF1]"	5		Plasma cells	skos:exactMatch	plasma cell	http://purl.obolibrary.org/obo/CL_0000786	"A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin."	These cells selectively express the JCHAIN transcript in human lung.				
19	17	8	Immune	B lineage cell	B cells	B cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	4511	3167	1.42	0.86	0.97	580361	72	1895	2616	2	0.85	0.91	344602	201	1051	2116	1	"['MS4A1', 'CD79A']"	['MS4A1']	"['MS4A1', 'BANK1', 'CD79A', 'LTB', 'IGKC', 'MEF2C', 'CD83', 'CXCR4', 'HLA-DQA1', 'CD37']"	"['MS4A1', 'BANK1', 'CD79A', 'BLK', 'RALGPS2', 'ARHGAP24', 'AFF3', 'MGAT5', 'EBF1', 'PRKCB']"	"[CD79A, MS4A1, BANK1]"	3		B cells	skos:exactMatch	B cell	http://purl.obolibrary.org/obo/CL_0000236	A lymphocyte of B lineage that is capable of B cell mediated immunity.	These cells selectively express the combination of MS4A1 and CD79A transcripts in human lung.				
20	18	9	Immune	B lineage cell	Plasmacytoid DCs	Plasmacytoid DC	Y	Y	Y	Y	Y	HLCA2CellRef_Match	552	236	2.34	0.79	0.98	584388	4	308	244	2	0.77	1.00	347734	0	141	95	2	"['LILRA4', 'JCHAIN']"	"['LILRA4', 'SCT']"	"['LILRA4', 'PLD4', 'IRF7', 'SCT', 'IL3RA', 'JCHAIN', 'MZB1', 'UGCG', 'GZMB', 'IRF8']"	"['LILRA4', 'PLD4', 'IRF7', 'SCT', 'CLEC4C', 'MAP1A', 'IRF8', 'PTCRA', 'CXCR3', 'MZB1']"	"[SCT, MZB1, IRF8, IRF7, LILRA4, JCHAIN, PLD4]"	7		Plasmacytoid DCs	skos:exactMatch	plasmacytoid dendritic cell	http://purl.obolibrary.org/obo/CL_0000784	"A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection."	These cells selectively express the combination of LILRA4 and JCHAIN transcripts in human lung.				
